"Ano do Ã“bito";"3205 SUL";"3207 METROPOLITANA";"3209 CENTRAL NORTE";"Total"
"1996";14;15;15;44
"1997";10;31;15;56
"1998";11;24;14;49
"1999";5;15;11;31
"2000";10;12;4;26
"2001";14;10;15;39
"2002";5;8;12;25
"2003";7;8;11;26
"2004";4;9;4;17
"2005";6;9;4;19
"2006";3;5;7;15
"2007";-;8;5;13
"2008";3;1;4;8
"2009";1;1;-;2
"2010";3;2;3;8
"2011";-;-;3;3
"2012";2;3;-;5
"2013";-;2;1;3
"2014";1;2;1;4
"2015";1;-;3;4
"2016";1;-;-;1
"2017";1;2;1;4
"2018";1;1;1;3
"2019";1;3;1;5
"2020";-;1;1;2
"Total";104;172;136;412
